Motion Sensor Data File Thu, Oct 07, 2021 9:39 AM
Time (s)	Distance (cm)	Dist Error (cm)
7.660	19.140	0.239
7.670	18.896	0.239
7.680	18.704	0.239
7.690	18.494	0.239
7.700	18.302	0.239
7.710	18.144	0.239
7.720	18.012	0.239
7.730	17.867	0.239
7.740	17.735	0.239
7.750	17.728	0.239
7.760	17.686	0.239
7.770	17.652	0.239
7.780	17.662	0.239
7.790	17.681	0.239
7.800	17.742	0.239
7.810	17.747	0.239
7.820	17.899	0.239
7.830	18.042	0.239
7.840	18.159	0.239
7.850	18.354	0.239
7.860	18.527	0.239
7.870	18.739	0.239
7.880	18.964	0.239
7.890	19.189	0.239
7.900	19.443	0.239
7.910	19.694	0.239
7.920	19.966	0.239
7.930	20.229	0.239
7.940	20.510	0.239
7.950	20.795	0.239
7.960	21.067	0.239
7.970	21.348	0.239
7.980	21.611	0.239
7.990	21.879	0.239
8.000	22.125	0.239
8.010	22.371	0.239
8.020	22.605	0.239
8.030	22.808	0.239
8.040	23.011	0.239
8.050	23.180	0.239
8.060	23.340	0.239
8.070	23.470	0.239
8.080	23.588	0.239
8.090	23.684	0.239
8.100	23.740	0.239
8.110	23.785	0.239
8.120	23.794	0.239
8.130	23.791	0.239
8.140	23.762	0.239
8.150	23.695	0.239
8.160	23.614	0.239
8.170	23.499	0.239
8.180	23.371	0.239
8.190	23.214	0.239
8.200	23.047	0.239
8.210	22.859	0.239
8.220	22.641	0.239
8.230	22.423	0.239
8.240	22.175	0.239
8.250	21.931	0.239
8.260	21.661	0.239
8.270	21.400	0.239
8.280	21.130	0.239
8.290	20.848	0.239
8.300	20.574	0.239
8.310	20.291	0.239
8.320	20.021	0.239
8.330	19.747	0.239
8.340	19.491	0.239
8.350	19.225	0.239
8.360	19.003	0.239
8.370	18.789	0.239
8.380	18.545	0.239
8.390	18.379	0.239
8.400	18.135	0.239
8.410	18.063	0.239
8.420	17.939	0.239
8.430	17.635	0.239
8.440	17.753	0.239
8.450	17.685	0.239
8.460	17.660	0.239
8.470	17.657	0.239
8.480	17.667	0.239
8.490	17.711	0.239
8.500	17.755	0.239
8.510	17.765	0.239
8.520	17.977	0.239
8.530	18.120	0.239
8.540	18.280	0.239
8.550	18.458	0.239
8.560	18.661	0.239
8.570	18.868	0.239
8.580	19.102	0.239
8.590	19.335	0.239
8.600	19.594	0.239
8.610	19.866	0.239
8.620	20.125	0.239
8.630	20.406	0.239
8.640	20.678	0.239
8.650	20.959	0.239
8.660	21.227	0.239
8.670	21.507	0.239
8.680	21.779	0.239
8.690	22.025	0.239
8.700	22.276	0.239
8.710	22.505	0.239
8.720	22.730	0.239
8.730	22.933	0.239
8.740	23.110	0.239
8.750	23.279	0.239
8.760	23.418	0.239
8.770	23.544	0.239
8.780	23.631	0.239
8.790	23.709	0.239
8.800	23.767	0.239
8.810	23.781	0.239
8.820	23.786	0.239
8.830	23.753	0.239
8.840	23.707	0.239
8.850	23.622	0.239
8.860	23.529	0.239
8.870	23.409	0.239
8.880	23.260	0.239
8.890	23.098	0.239
8.900	22.906	0.239
8.910	22.709	0.239
8.920	22.482	0.239
8.930	22.251	0.239
8.940	22.012	0.239
8.950	21.746	0.239
8.960	21.489	0.239
8.970	21.211	0.239
8.980	20.941	0.239
8.990	20.659	0.239
9.000	20.376	0.239
9.010	20.119	0.239
9.020	19.824	0.239
9.030	19.576	0.239
9.040	19.328	0.239
9.050	19.092	0.239
9.060	18.852	0.239
9.070	18.656	0.239
9.080	18.464	0.239
9.090	18.246	0.239
9.100	18.131	0.239
9.110	17.990	0.239
9.120	17.845	0.239
9.130	17.777	0.239
9.140	17.727	0.239
9.150	17.694	0.239
9.160	17.669	0.239
9.170	17.683	0.239
9.180	17.714	0.239
9.190	17.780	0.239
9.200	17.824	0.239
9.210	17.967	0.239
9.220	18.102	0.239
9.230	18.236	0.239
9.240	18.422	0.239
9.250	18.608	0.239
9.260	18.820	0.239
9.270	19.049	0.239
9.280	19.278	0.239
9.290	19.533	0.239
9.300	19.788	0.239
9.310	20.060	0.239
9.320	20.324	0.239
9.330	20.608	0.239
9.340	20.889	0.239
9.350	21.157	0.239
9.360	21.437	0.239
9.370	21.697	0.239
9.380	21.960	0.239
9.390	22.210	0.239
9.400	22.440	0.239
9.410	22.669	0.239
9.420	22.867	0.239
9.430	23.062	0.239
9.440	23.223	0.239
9.450	23.378	0.239
9.460	23.509	0.239
9.470	23.609	0.239
9.480	23.691	0.239
9.490	23.740	0.239
9.500	23.780	0.239
9.510	23.777	0.239
9.520	23.765	0.239
9.530	23.727	0.239
9.540	23.651	0.239
9.550	23.562	0.239
9.560	23.438	0.239
9.570	23.302	0.239
9.580	23.136	0.239
9.590	22.961	0.239
9.600	22.772	0.239
9.610	22.550	0.239
9.620	22.323	0.239
9.630	22.075	0.239
9.640	21.823	0.239
9.650	21.553	0.239
9.660	21.292	0.239
9.670	21.022	0.239
9.680	20.735	0.239
9.690	20.466	0.239
9.700	20.183	0.239
9.710	19.918	0.239
9.720	19.657	0.239
9.730	19.400	0.239
9.740	19.160	0.239
9.750	18.920	0.239
9.760	18.711	0.239
9.770	18.502	0.239
9.780	18.327	0.239
9.790	18.168	0.239
9.800	18.019	0.239
9.810	17.904	0.239
9.820	17.781	0.239
9.830	17.734	0.239
9.840	17.680	0.239
9.850	17.660	0.239
9.860	17.670	0.239
9.870	17.688	0.239
9.880	17.749	0.239
9.890	17.789	0.239
9.900	17.919	0.239
9.910	18.036	0.239
9.920	18.188	0.239
9.930	18.357	0.239
9.940	18.534	0.239
9.950	18.746	0.239
9.960	18.958	0.239
9.970	19.196	0.239
9.980	19.433	0.239
9.990	19.697	0.239
10.000	19.969	0.239
10.010	20.232	0.239
10.020	20.513	0.239
10.030	20.781	0.239
10.040	21.066	0.239
10.050	21.346	0.239
10.060	21.605	0.239
10.070	21.873	0.239
10.080	22.115	0.239
10.090	22.361	0.239
10.100	22.582	0.239
10.110	22.802	0.239
10.120	23.001	0.239
10.130	23.170	0.239
10.140	23.330	0.239
10.150	23.460	0.239
10.160	23.578	0.239
10.170	23.656	0.239
10.180	23.726	0.239
10.190	23.775	0.239
10.200	23.780	0.239
10.210	23.777	0.239
10.220	23.735	0.239
10.230	23.676	0.239
10.240	23.587	0.239
10.250	23.485	0.239
10.260	23.357	0.239
10.270	23.199	0.239
10.280	23.033	0.239
10.290	22.832	0.239
10.300	22.631	0.239
10.310	22.400	0.239
10.320	22.165	0.239
10.330	21.925	0.239
10.340	21.655	0.239
10.350	21.394	0.239
10.360	21.116	0.239
10.370	20.846	0.239
10.380	20.577	0.239
10.390	20.294	0.239
10.400	20.029	0.239
10.410	19.755	0.239
10.420	19.502	0.239
10.430	19.250	0.239
10.440	19.018	0.239
10.450	18.805	0.239
10.460	18.591	0.239
10.470	18.412	0.239
10.480	18.210	0.239
10.490	18.091	0.239
10.500	17.955	0.239
10.510	17.793	0.239
10.520	17.785	0.239
10.530	17.722	0.239
10.540	17.693	0.239
10.550	17.682	0.239
10.560	17.704	0.239
10.570	17.740	0.239
10.580	17.771	0.239
10.590	17.879	0.239
10.600	18.014	0.239
10.610	18.157	0.239
10.620	18.287	0.239
10.630	18.486	0.239
10.640	18.681	0.239
10.650	18.876	0.239
10.660	19.126	0.239
10.670	19.364	0.239
10.680	19.610	0.239
10.690	19.873	0.239
10.700	20.150	0.239
10.710	20.426	0.239
10.720	20.694	0.239
10.730	20.975	0.239
10.740	21.242	0.239
10.750	21.518	0.239
10.760	21.773	0.239
10.770	22.032	0.239
10.780	22.279	0.239
10.790	22.504	0.239
10.800	22.724	0.239
10.810	22.914	0.239
10.820	23.100	0.239
10.830	23.256	0.239
10.840	23.404	0.239
10.850	23.525	0.239
10.860	23.612	0.239
10.870	23.691	0.239
10.880	23.731	0.239
10.890	23.758	0.239
10.900	23.750	0.239
10.910	23.726	0.239
10.920	23.680	0.239
10.930	23.595	0.239
10.940	23.501	0.239
10.950	23.369	0.239
10.960	23.229	0.239
10.970	23.058	0.239
10.980	22.878	0.239
10.990	22.682	0.239
11.000	22.455	0.239
11.010	22.228	0.239
11.020	21.976	0.239
11.030	21.723	0.239
11.040	21.466	0.239
11.050	21.188	0.239
11.060	20.919	0.239
11.070	20.636	0.239
11.080	20.370	0.239
11.090	20.088	0.239
11.100	19.831	0.239
11.110	19.574	0.239
11.120	19.318	0.239
11.130	19.086	0.239
11.140	18.855	0.239
11.150	18.650	0.239
11.160	18.454	0.239
11.170	18.266	0.239
11.180	18.134	0.239
11.190	17.993	0.239
11.200	17.861	0.239
11.210	17.759	0.239
11.220	17.734	0.239
11.230	17.688	0.239
11.240	17.681	0.239
11.250	17.699	0.239
11.260	17.730	0.239
11.270	17.749	0.239
11.280	17.720	0.239
11.290	17.987	0.239
11.300	18.113	0.239
11.310	18.231	0.239
11.320	18.447	0.239
11.330	18.633	0.239
11.340	18.845	0.239
11.350	19.061	0.239
11.360	19.303	0.239
11.370	19.553	0.239
11.380	19.808	0.239
11.390	20.080	0.239
11.400	20.344	0.239
11.410	20.624	0.239
11.420	20.892	0.239
11.430	21.173	0.239
11.440	21.445	0.239
11.450	21.704	0.239
11.460	21.967	0.239
11.470	22.205	0.239
11.480	22.443	0.239
11.490	22.658	0.239
11.500	22.866	0.239
11.510	23.057	0.239
11.520	23.217	0.239
11.530	23.368	0.239
11.540	23.486	0.239
11.550	23.595	0.239
11.560	23.668	0.239
11.570	23.726	0.239
11.580	23.761	0.239
11.590	23.758	0.239
11.600	23.746	0.239
11.610	23.696	0.239
11.620	23.633	0.239
11.630	23.530	0.239
11.640	23.420	0.239
11.650	23.288	0.239
11.660	23.122	0.239
11.670	22.950	0.239
11.680	22.745	0.239
11.690	22.536	0.239
11.700	22.314	0.239
11.710	22.065	0.239
11.720	21.821	0.239
11.730	21.552	0.239
11.740	21.291	0.239
11.750	21.012	0.239
11.760	20.743	0.239
11.770	20.473	0.239
11.780	20.195	0.239
11.790	19.934	0.239
11.800	19.664	0.239
11.810	19.416	0.239
11.820	19.146	0.239
11.830	18.919	0.239
11.840	18.731	0.239
11.850	18.505	0.239
11.860	18.330	0.239
11.870	18.163	0.239
11.880	18.048	0.239
11.890	17.920	0.239
11.900	17.724	0.239
11.910	17.763	0.239
11.920	17.709	0.239
11.930	17.693	0.239
11.940	17.685	0.239
11.950	17.716	0.239
11.960	17.744	0.239
11.970	17.663	0.239
11.980	17.948	0.239
11.990	18.061	0.239
12.000	18.208	0.239
12.010	18.368	0.239
12.020	18.559	0.239
12.030	18.766	0.239
12.040	18.974	0.239
12.050	19.212	0.239
12.060	19.449	0.239
12.070	19.708	0.239
12.080	19.963	0.239
12.090	20.235	0.239
12.100	20.516	0.239
12.110	20.784	0.239
12.120	21.064	0.239
12.130	21.328	0.239
12.140	21.600	0.239
12.150	21.850	0.239
12.160	22.105	0.239
12.170	22.351	0.239
12.180	22.568	0.239
12.190	22.784	0.239
12.200	22.970	0.239
12.210	23.147	0.239
12.220	23.294	0.239
12.230	23.433	0.239
12.240	23.551	0.239
12.250	23.629	0.239
12.260	23.699	0.239
12.270	23.730	0.239
12.280	23.749	0.239
12.290	23.733	0.239
12.300	23.699	0.239
12.310	23.645	0.239
12.320	23.555	0.239
12.330	23.453	0.239
12.340	23.317	0.239
12.350	23.172	0.239
12.360	23.002	0.239
12.370	22.805	0.239
12.380	22.604	0.239
12.390	22.373	0.239
12.400	22.142	0.239
12.410	21.889	0.239
12.420	21.637	0.239
12.430	21.380	0.239
12.440	21.102	0.239
12.450	20.832	0.239
12.460	20.554	0.239
12.470	20.284	0.239
12.480	20.010	0.239
12.490	19.749	0.239
12.500	19.505	0.239
12.510	19.235	0.239
12.520	19.026	0.239
12.530	18.799	0.239
12.540	18.598	0.239
12.550	18.398	0.239
12.560	18.209	0.239
12.570	18.107	0.239
12.580	17.975	0.239
12.590	17.830	0.239
12.600	17.758	0.239
12.610	17.747	0.239
12.620	17.705	0.239
12.630	17.706	0.239
12.640	17.728	0.239
12.650	17.768	0.239
12.660	17.791	0.239
12.670	17.921	0.239
12.680	18.043	0.239
12.690	18.186	0.239
12.700	18.338	0.239
12.710	18.519	0.239
12.720	18.705	0.239
12.730	18.926	0.239
12.740	19.146	0.239
12.750	19.388	0.239
12.760	19.648	0.239
12.770	19.898	0.239
12.780	20.170	0.239
12.790	20.433	0.239
12.800	20.714	0.239
12.810	20.978	0.239
12.820	21.258	0.239
12.830	21.530	0.239
12.840	21.781	0.239
12.850	22.040	0.239
12.860	22.273	0.239
12.870	22.507	0.239
12.880	22.714	0.239
12.890	22.917	0.239
12.900	23.103	0.239
12.910	23.255	0.239
12.920	23.402	0.239
12.930	23.511	0.239
12.940	23.611	0.239
12.950	23.672	0.239
12.960	23.725	0.239
12.970	23.752	0.239
12.980	23.740	0.239
12.990	23.720	0.239
13.000	23.657	0.239
13.010	23.585	0.239
13.020	23.491	0.239
13.030	23.359	0.239
13.040	23.223	0.239
13.050	23.048	0.239
13.060	22.873	0.239
13.070	22.663	0.239
13.080	22.449	0.239
13.090	22.223	0.239
13.100	21.970	0.239
13.110	21.722	0.239
13.120	21.448	0.239
13.130	21.187	0.239
13.140	20.909	0.239
13.150	20.639	0.239
13.160	20.369	0.239
13.170	20.091	0.239
13.180	19.834	0.239
13.190	19.569	0.239
13.200	19.325	0.239
13.210	19.081	0.239
13.220	18.850	0.239
13.230	18.658	0.239
13.240	18.453	0.239
13.250	18.256	0.239
13.260	18.132	0.239
13.270	18.005	0.239
13.280	17.881	0.239
13.290	17.792	0.239
13.300	17.750	0.239
13.310	17.704	0.239
13.320	17.692	0.239
13.330	17.698	0.239
13.340	17.738	0.239
13.350	17.782	0.239
13.360	17.852	0.239
13.370	17.995	0.239
13.380	18.116	0.239
13.390	18.264	0.239
13.400	18.437	0.239
13.410	18.631	0.239
13.420	18.843	0.239
13.430	19.059	0.239
13.440	19.301	0.239
13.450	19.539	0.239
13.460	19.802	0.239
13.470	20.062	0.239
13.480	20.334	0.239
13.490	20.614	0.239
13.500	20.878	0.239
13.510	21.159	0.239
13.520	21.422	0.239
13.530	21.690	0.239
13.540	21.936	0.239
13.550	22.186	0.239
13.560	22.428	0.239
13.570	22.640	0.239
13.580	22.848	0.239
13.590	23.025	0.239
13.600	23.198	0.239
13.610	23.337	0.239
13.620	23.467	0.239
13.630	23.576	0.239
13.640	23.646	0.239
13.650	23.707	0.239
13.660	23.730	0.239
13.670	23.740	0.239
13.680	23.728	0.239
13.690	23.678	0.239
13.700	23.614	0.239
13.710	23.517	0.239
13.720	23.406	0.239
13.730	23.261	0.239
13.740	23.107	0.239
13.750	22.937	0.239
13.760	22.731	0.239
13.770	22.526	0.239
13.780	22.291	0.239
13.790	22.060	0.239
13.800	21.799	0.239
13.810	21.546	0.239
13.820	21.285	0.239
13.830	21.007	0.239
13.840	20.741	0.239
13.850	20.459	0.239
13.860	20.193	0.239
13.870	19.924	0.239
13.880	19.667	0.239
13.890	19.423	0.239
13.900	19.162	0.239
13.910	18.948	0.239
13.920	18.730	0.239
13.930	18.542	0.239
13.940	18.354	0.239
13.950	18.196	0.239
13.960	18.064	0.239
13.970	17.940	0.239
13.980	17.817	0.239
13.990	17.775	0.239
14.000	17.733	0.239
14.010	17.717	0.239
14.020	17.714	0.239
14.030	17.745	0.239
14.040	17.777	0.239
14.050	17.834	0.239
14.060	17.964	0.239
14.070	18.090	0.239
14.080	18.233	0.239
14.090	18.393	0.239
14.100	18.583	0.239
14.110	18.778	0.239
14.120	18.999	0.239
14.130	19.223	0.239
14.140	19.470	0.239
14.150	19.729	0.239
14.160	19.983	0.239
14.170	20.256	0.239
14.180	20.519	0.239
14.190	20.800	0.239
14.200	21.063	0.239
14.210	21.340	0.239
14.220	21.607	0.239
14.230	21.858	0.239
14.240	22.113	0.239
14.250	22.342	0.239
14.260	22.566	0.239
14.270	22.770	0.239
14.280	22.964	0.239
14.290	23.142	0.239
14.300	23.289	0.239
14.310	23.423	0.239
14.320	23.528	0.239
14.330	23.615	0.239
14.340	23.685	0.239
14.350	23.716	0.239
14.360	23.730	0.239
14.370	23.715	0.239
14.380	23.681	0.239
14.390	23.613	0.239
14.400	23.533	0.239
14.410	23.431	0.239
14.420	23.294	0.239
14.430	23.149	0.239
14.440	22.970	0.239
14.450	22.787	0.239
14.460	22.572	0.239
14.470	22.354	0.239
14.480	22.123	0.239
