Frequency, V, V_R, Phase diff
10Hz, 1.13, 1.03, 4.0
50Hz, 1.13, 1.03, 3.0
100Hz, 1.13, 1.03, 5.0
500Hz, 1.13, 0.98, 15.0
1000Hz, 1.17, 0.940, 28 
10kHz, 1.21, 0.340, 90
50kHz, 1.17, 0.180, 100
100kHz, 1.17, 0.160, 120
500kHz, 1.15, 0.140, 160
1MHz, 1.17, .180, 250

