Resistance (kohm), Current (mA), Voltage (V)
100e-3, 96.73, 9.795
220e-3, 45.12, 9.904
470e-3, 21.505, 9.954
2.7, 3.686, 9.991
27, 0.37, 9.998
100, 0.096, 9.999
