Resistance (kohm), Current (mA), Voltage (V)
100e-3, 193.25, 19.592
220e-3, 90.26, 19.811
470e-3, 43.01, 19.911
2.7, 7.375, 19.986
27, 0.744, 20
100, 0.195, 20.001
