Resistance (kohm), Current (mA), Voltage (V)
100e-3, 146.22, 14.993
220e-3, 67.94, 14.997
470e-3, 32.312, 14.998
2.7, 5.531, 15.00
27, 0.556, 15.00
100, 0.146, 14.999
