Resistance (kohm), Current (mA), Voltage (V)
100e-3, 58.51, 5.996
220e-3, 27.178, 5.997
470e-3, 12.923, 5.998
2.7, 2.210, 5.998
27, 0.220, 5.998
100, 0.056, 6.00
