Resistance (kohm), Current (mA), Voltage (V)
100e-3, 58.51, 5.875
220e-3, 27.179, 5.941
470e-3, 12.924, 5.971
2.7, 2.211, 5.994
27, 0.222, 5.998
100, 0.057, 5.998
