Resistance (kohm), Current (mA), Voltage (V)
100e-3, 194.82, 19.992
220e-3, 90.57, 19.997
470e-3, 43.07, 19.999
2.7, 7.376, 20.001
27, 0.742, 20.001
100, 0.194, 20.001
