Resistance (kohm), Current (mA), Voltage (V)
100e-3, 144.53, 14.695
220e-3, 67.56, 14.859
470e-3, 32.259, 14.933
2.7, 5.531, 14.989
27, 0.557, 14.999 
100, 0.146, 15.0
