Resistance (kohm), Current (mA), Voltage (V)
100e-3, 97.52, 9.995
220e-3, 45.30, 9.998
470e-3, 21.544, 9.999
2.7, 3.686, 10
27, 0.370, 10
100, 0.095, 10
