Voltage (V),Current (mA),Resistance (kOhm)
1.3,12.4,0.1048387097
2.5,25.4,0.09842519685
4,40.1,0.09975062344
5.9,59.6,0.09899328859
8,80.1,0.09987515605
10.9,109.7,0.09936189608
