Motion Sensor Data File Thu, Oct 07, 2021 10:31 AM
Time (s)	Distance (cm)	Dist Error (cm)
3.110	20.004	0.239
3.120	20.009	0.239
3.130	20.036	0.239
3.140	20.054	0.239
3.150	20.090	0.239
3.160	20.117	0.239
3.170	20.166	0.239
3.180	20.214	0.239
3.190	20.258	0.239
3.200	20.315	0.239
3.210	20.364	0.239
3.220	20.430	0.239
3.230	20.482	0.239
3.240	20.552	0.239
3.250	20.622	0.239
3.260	20.680	0.239
3.270	20.749	0.239
3.280	20.806	0.239
3.290	20.877	0.239
3.300	20.947	0.239
3.310	20.999	0.239
3.320	21.065	0.239
3.330	21.113	0.239
3.340	21.171	0.239
3.350	21.211	0.239
3.360	21.259	0.239
3.370	21.303	0.239
3.380	21.334	0.239
3.390	21.370	0.239
3.400	21.384	0.239
3.410	21.411	0.239
3.420	21.417	0.239
3.430	21.426	0.239
3.440	21.436	0.239
3.450	21.424	0.239
3.460	21.417	0.239
3.470	21.397	0.239
3.480	21.377	0.239
3.490	21.343	0.239
3.500	21.314	0.239
3.510	21.285	0.239
3.520	21.235	0.239
3.530	21.193	0.239
3.540	21.134	0.239
3.550	21.088	0.239
3.560	21.021	0.239
3.570	20.966	0.239
3.580	20.911	0.239
3.590	20.840	0.239
3.600	20.780	0.239
3.610	20.704	0.239
3.620	20.645	0.239
3.630	20.573	0.239
3.640	20.514	0.239
3.650	20.459	0.239
3.660	20.388	0.239
3.670	20.337	0.239
3.680	20.274	0.239
3.690	20.228	0.239
3.700	20.173	0.239
3.710	20.136	0.239
3.720	20.102	0.239
3.730	20.061	0.239
3.740	20.041	0.239
3.750	20.007	0.239
3.760	19.995	0.239
3.770	19.980	0.239
3.780	19.977	0.239
3.790	19.982	0.239
3.800	19.983	0.239
3.810	20.001	0.239
3.820	20.011	0.239
3.830	20.038	0.239
3.840	20.061	0.239
3.850	20.101	0.239
3.860	20.145	0.239
3.870	20.181	0.239
3.880	20.238	0.239
3.890	20.282	0.239
3.900	20.339	0.239
3.910	20.405	0.239
3.920	20.458	0.239
3.930	20.527	0.239
3.940	20.585	0.239
3.950	20.655	0.239
3.960	20.712	0.239
3.970	20.781	0.239
3.980	20.852	0.239
3.990	20.909	0.239
4.000	20.975	0.239
4.010	21.027	0.239
4.020	21.093	0.239
4.030	21.137	0.239
4.040	21.194	0.239
4.050	21.243	0.239
4.060	21.278	0.239
4.070	21.322	0.239
4.080	21.345	0.239
4.090	21.377	0.239
4.100	21.390	0.239
4.110	21.413	0.239
4.120	21.427	0.239
4.130	21.424	0.239
4.140	21.430	0.239
4.150	21.414	0.239
4.160	21.406	0.239
4.170	21.377	0.239
4.180	21.357	0.239
4.190	21.333	0.239
4.200	21.291	0.239
4.210	21.257	0.239
4.220	21.203	0.239
4.230	21.161	0.239
4.240	21.102	0.239
4.250	21.052	0.239
4.260	20.997	0.239
4.270	20.929	0.239
4.280	20.870	0.239
4.290	20.799	0.239
4.300	20.739	0.239
4.310	20.668	0.239
4.320	20.609	0.239
4.330	20.550	0.239
4.340	20.482	0.239
4.350	20.427	0.239
4.360	20.360	0.239
4.370	20.309	0.239
4.380	20.250	0.239
4.390	20.209	0.239
4.400	20.171	0.239
4.410	20.125	0.239
4.420	20.096	0.239
4.430	20.059	0.239
4.440	20.038	0.239
4.450	20.013	0.239
4.460	20.006	0.239
4.470	20.003	0.239
4.480	19.992	0.239
4.490	20.001	0.239
4.500	20.007	0.239
4.510	20.029	0.239
4.520	20.056	0.239
4.530	20.075	0.239
4.540	20.110	0.239
4.550	20.142	0.239
4.560	20.190	0.239
4.570	20.230	0.239
4.580	20.283	0.239
4.590	20.344	0.239
4.600	20.393	0.239
4.610	20.459	0.239
4.620	20.511	0.239
4.630	20.581	0.239
4.640	20.638	0.239
4.650	20.708	0.239
4.660	20.778	0.239
4.670	20.835	0.239
4.680	20.901	0.239
4.690	20.958	0.239
4.700	21.024	0.239
4.710	21.072	0.239
4.720	21.134	0.239
4.730	21.187	0.239
4.740	21.227	0.239
4.750	21.275	0.239
4.760	21.306	0.239
4.770	21.342	0.239
4.780	21.365	0.239
4.790	21.392	0.239
4.800	21.414	0.239
4.810	21.420	0.239
4.820	21.429	0.239
4.830	21.422	0.239
4.840	21.419	0.239
4.850	21.399	0.239
4.860	21.387	0.239
4.870	21.367	0.239
4.880	21.334	0.239
4.890	21.305	0.239
4.900	21.254	0.239
4.910	21.217	0.239
4.920	21.162	0.239
4.930	21.116	0.239
4.940	21.066	0.239
4.950	21.002	0.239
4.960	20.947	0.239
4.970	20.876	0.239
4.980	20.817	0.239
4.990	20.745	0.239
5.000	20.686	0.239
5.010	20.627	0.239
5.020	20.555	0.239
5.030	20.500	0.239
5.040	20.428	0.239
5.050	20.378	0.239
5.060	20.310	0.239
5.070	20.264	0.239
5.080	20.222	0.239
5.090	20.168	0.239
5.100	20.130	0.239
5.110	20.088	0.239
5.120	20.064	0.239
5.130	20.044	0.239
5.140	20.015	0.239
5.150	20.003	0.239
5.160	19.991	0.239
5.170	19.992	0.239
5.180	19.985	0.239
5.190	19.999	0.239
5.200	20.022	0.239
5.210	20.032	0.239
5.220	20.063	0.239
5.230	20.090	0.239
5.240	20.130	0.239
5.250	20.165	0.239
5.260	20.214	0.239
5.270	20.271	0.239
5.280	20.315	0.239
5.290	20.376	0.239
5.300	20.429	0.239
5.310	20.495	0.239
5.320	20.552	0.239
5.330	20.622	0.239
5.340	20.692	0.239
5.350	20.749	0.239
5.360	20.819	0.239
5.370	20.876	0.239
5.380	20.946	0.239
5.390	20.999	0.239
5.400	21.065	0.239
5.410	21.126	0.239
5.420	21.170	0.239
5.430	21.223	0.239
5.440	21.259	0.239
5.450	21.303	0.239
5.460	21.330	0.239
5.470	21.365	0.239
5.480	21.397	0.239
5.490	21.407	0.239
5.500	21.425	0.239
5.510	21.426	0.239
5.520	21.432	0.239
5.530	21.420	0.239
5.540	21.417	0.239
5.550	21.405	0.239
5.560	21.376	0.239
5.570	21.356	0.239
5.580	21.314	0.239
5.590	21.285	0.239
5.600	21.235	0.239
5.610	21.193	0.239
5.620	21.147	0.239
5.630	21.088	0.239
5.640	21.038	0.239
5.650	20.970	0.239
5.660	20.911	0.239
5.670	20.843	0.239
5.680	20.784	0.239
5.690	20.726	0.239
5.700	20.653	0.239
5.710	20.594	0.239
5.720	20.523	0.239
5.730	20.464	0.239
5.740	20.413	0.239
5.750	20.345	0.239
5.760	20.299	0.239
5.770	20.241	0.239
5.780	20.199	0.239
5.790	20.149	0.239
5.800	20.115	0.239
5.810	20.086	0.239
5.820	20.053	0.239
5.830	20.037	0.239
5.840	20.013	0.239
5.850	20.005	0.239
5.860	19.993	0.239
5.870	19.999	0.239
5.880	20.013	0.239
5.890	20.014	0.239
5.900	20.041	0.239
5.910	20.055	0.239
5.920	20.091	0.239
5.930	20.118	0.239
5.940	20.162	0.239
5.950	20.210	0.239
5.960	20.250	0.239
5.970	20.308	0.239
5.980	20.352	0.239
5.990	20.417	0.239
6.000	20.470	0.239
6.010	20.536	0.239
6.020	20.606	0.239
6.030	20.658	0.239
6.040	20.733	0.239
6.050	20.786	0.239
6.060	20.856	0.239
6.070	20.913	0.239
6.080	20.978	0.239
6.090	21.044	0.239
6.100	21.093	0.239
6.110	21.150	0.239
6.120	21.190	0.239
6.130	21.242	0.239
6.140	21.274	0.239
6.150	21.318	0.239
6.160	21.354	0.239
6.170	21.372	0.239
6.180	21.395	0.239
6.190	21.405	0.239
6.200	21.419	0.239
6.210	21.415	0.239
6.220	21.417	0.239
6.230	21.414	0.239
6.240	21.389	0.239
6.250	21.377	0.239
6.260	21.344	0.239
6.270	21.319	0.239
6.280	21.278	0.239
6.290	21.240	0.239
6.300	21.203	0.239
6.310	21.144	0.239
6.320	21.098	0.239
6.330	21.034	0.239
6.340	20.980	0.239
6.350	20.925	0.239
6.360	20.857	0.239
6.370	20.798	0.239
6.380	20.726	0.239
6.390	20.668	0.239
6.400	20.596	0.239
6.410	20.536	0.239
6.420	20.482	0.239
6.430	20.414	0.239
6.440	20.360	0.239
6.450	20.301	0.239
6.460	20.250	0.239
6.470	20.195	0.239
6.480	20.158	0.239
6.490	20.125	0.239
6.500	20.083	0.239
6.510	20.058	0.239
6.520	20.029	0.239
6.530	20.013	0.239
6.540	19.993	0.239
6.550	19.995	0.239
6.560	20.000	0.239
6.570	19.997	0.239
6.580	20.011	0.239
6.590	20.021	0.239
6.600	20.048	0.239
6.610	20.070	0.239
6.620	20.106	0.239
6.630	20.150	0.239
6.640	20.186	0.239
6.650	20.238	0.239
6.660	20.283	0.239
6.670	20.340	0.239
6.680	20.393	0.239
6.690	20.458	0.239
6.700	20.524	0.239
6.710	20.581	0.239
6.720	20.651	0.239
6.730	20.708	0.239
6.740	20.778	0.239
6.750	20.835	0.239
6.760	20.901	0.239
6.770	20.971	0.239
6.780	21.024	0.239
6.790	21.085	0.239
6.800	21.134	0.239
6.810	21.187	0.239
6.820	21.227	0.239
6.830	21.275	0.239
6.840	21.319	0.239
6.850	21.342	0.239
6.860	21.377	0.239
6.870	21.391	0.239
6.880	21.410	0.239
6.890	21.415	0.239
6.900	21.425	0.239
6.910	21.431	0.239
6.920	21.414	0.239
6.930	21.407	0.239
6.940	21.383	0.239
6.950	21.362	0.239
6.960	21.338	0.239
6.970	21.296	0.239
6.980	21.263	0.239
6.990	21.212	0.239
7.000	21.171	0.239
7.010	21.112	0.239
7.020	21.061	0.239
7.030	21.006	0.239
7.040	20.939	0.239
7.050	20.884	0.239
7.060	20.812	0.239
7.070	20.753	0.239
7.080	20.681	0.239
7.090	20.622	0.239
7.100	20.563	0.239
7.110	20.492	0.239
7.120	20.437	0.239
7.130	20.373	0.239
7.140	20.323	0.239
7.150	20.260	0.239
7.160	20.218	0.239
7.170	20.176	0.239
7.180	20.130	0.239
7.190	20.097	0.239
7.200	20.059	0.239
7.210	20.039	0.239
7.220	20.010	0.239
7.230	20.003	0.239
7.240	20.000	0.239
7.250	19.988	0.239
7.260	19.998	0.239
7.270	19.999	0.239
7.280	20.017	0.239
7.290	20.032	0.239
7.300	20.063	0.239
7.310	20.098	0.239
7.320	20.125	0.239
7.330	20.174	0.239
7.340	20.210	0.239
7.350	20.267	0.239
7.360	20.311	0.239
7.370	20.372	0.239
7.380	20.438	0.239
7.390	20.491	0.239
7.400	20.560	0.239
7.410	20.613	0.239
7.420	20.683	0.239
7.430	20.745	0.239
7.440	20.815	0.239
7.450	20.880	0.239
7.460	20.938	0.239
7.470	21.003	0.239
7.480	21.052	0.239
