Voltage (V),Current (mA),Resistance (kOhm)
1.9,0.122,15.57377049
3.1,0.202,15.34653465
4.3,0.276,15.57971014
5.5,0.354,15.53672316
7,0.447,15.65995526
8.3,0.533,15.57223265
10.4,0.665,15.63909774
12.8,0.818,15.64792176
15.3,0.981,15.59633028
