Voltage (V),Current (mA),Resistance (kOhm)
3.8,0.1,38.0
7.2,0.2,36.0
8.1,0.3,27.0
11.1,0.4,27.8
13.5,0.5,27.0
16.1,0.6,26.8
21.7,0.8,27.1
27.6,1,27.6
