Resistance (kohm), Current (muA), Voltage (V)
0.100, 60.54e3, 6.265
0.220, 28.40e3, 6.292
0.470, 13.55e3, 6.304
2.7, 2.326e3, 6.311
27, 234.32, 6.312
100, 62.09, 6.311

