Resistance (kohm), Current (mA), Voltage (V)
0.100, 194.82, 19.992
0.220, 90.57, 19.997
0.470, 43.07, 19.999
2.7, 7.376, 20.001
27, 0.742, 20.001
100, 0.194, 20.001
