Resistance (kohm), Current (mA), Voltage (V)
0.100, 58.51, 5.875
0.220, 27.179, 5.941
0.470, 12.924, 5.971
2.7, 2.211, 5.994
27, 0.222, 5.998
100, 0.057, 5.998
