Resistance (kohm), Current (mA), Voltage (V)
0.100, 96.73, 9.795
0.220, 45.12, 9.904
0.470, 21.505, 9.954
2.7, 3.686, 9.991
27, 0.37, 9.998
100, 0.096, 9.999
